rating,review
5, I really messed up my credit and have a bunch of other out of the ordinary  factors but  I was able to get approved with a 9% down payment. Drove off the lot today a very happy customer in the truck I'd been looking at . If your looking for a vehicle and an excellent service experience this place really is worth your time. They even sent an uber to get me to the lot to complete the deal. 
4.3,Do not even think about. No one will return your call about anything. I finally bailed on my new car I had bought and took a loss and went back to Sewell Infiniti. I’m trying to finish that transaction but of course nobody will return my call.
4.6,This was the best buying experience that I have had!!  I worked with Rosalie Isern and Chelsea Mackey.  They were both super friendly!  No hassles and very upfront.  Excellent customer service!  I drove 3 hours because our local Lexus dealer was horrible!  I will say it was definitely worth the 3 hour drive for the service I received!
4.2,RACHID was great!!! He listene to what we wanted and got all of our questions answered.The whole crew we worked with from the time we got there to the end was great!
4.2,Salesman allowed us to test 3 different cars and was quite courteous. Only issue was not allowing us to get a copy of the deal offered.
5,"Purchase a 2020 Subaru Crosstrek from Randall Noe Subaru.  Shannon Wagoner is the best Sales Manager I have ever worked with, she made my purchase happen after another Dealership would not.  Everyone in the dealership is friendly & helpful from the moment you open the door.  Would not hesitate to recommend Randall Noe Subaru for your car purchase, what a great team."
4.9,We needed a more reliable car for our teenage daughter. Working with Kyle at 4M was a great experience. He understood what we were looking for and what we needed. The whole process was quick and easy.  The guys at 4M are great. 
4.2,Eric Rioja is on the run from the FBI for illegal cars sales. I would say the reviews are false and the real complains have been deleted. They screwed over 100s of people sailing cars with no titles. That why they can't get the permanent plates. Please contact your local police if you know where he is...the dealership has been closed and dealers license revoked by the DMV.....
4.4,"Buyers beware...bought a $130,000 2006 Hummer H1 from them and found out that the whole ABS system was removed by the previous owner. They were going to help resolve this, but now no one will return my calls or take my calls. Now $10,000 EXTRA out of my pocket. CROOKED STEALERSHIP!!!  DO NOT BUY FROM THEM!!!  WATCH out for BRYCE!!!  No return calls for a month."
4.4,"I would not recommend this dealer to anyone. I send in a request for quote on Saturday night via internet. Receive an email from Matthew  the salesman on Monday morning, i proceed to try and contact him all  day calling 7 times with no response.  The next morning i receive an Email from the GM Keith(check in and introducing himself) in which i responded to him and tried to call him 5 times through the day with no response. SO that is 12 times reaching out to them with no response.  I call the general line and get to talk to another salesman that than tells me the car is now sold. Tell him what has happened  and express my concern for not getting any opportunity on the vehicle. A sales manager than calls me back Derek. Very rude person and bad attitude from the start, has no customer service skills. At one point he even says i am glad i sold it to someone else.

Stay away from a bad experience  and choose a quality dealer that will respond to each customer."
5,Had been looking for truck for weeks. Went my closest dealer with the printout of the truck I wanted and where it was located. The sales manager told me if I didn't want the similar truck at his dealer he couldn't help me then he walked away. I called Elder and told salesman Oliver Beltran what wanted and here it was. Oliver called me back in a few hours and told me that truck will be at his dealer in morning and he would have everything ready to sign Worked with Mandy in business office and she was  great also. 
5,We recently purchased a Dodge Ram 1500 truck. We got exactly what we wanted and were very happy with the price and the sales process. Will definitely do business here again!
5,The sales team was amazing at Mathews Nissan of Paris. My salesmen  Bryce made this experience easy and no  pressure to buy. All around great customer service. 
5,Texas car world is the place to go in DFW for your next car. Alex made the entire process stress free and as simple as possible. They actually hand delivered my car to my job at 11pm at night just so I would have it when I got off ! They aren’t even open that late!!!! Integrity and honesty is what they are all about . They aren’t your average car salesman these people truly care. Thank you Texas car word for getting this single mom back on the road. You guys are the best thank you for the outstanding customer service!!! 
4.1,"I just purchased my fifth car from Garland Cadillac. I have dealt with Ata Barakat since 2010. He goes the extra mile for his customer and always greets us with a welcoming smile. I highly recommend him to anyone I know who is looking for a new car.  From new car sales to customer service, service writers and body shop, the experience has always been excellent. "
4.9,"I have bought and sold a lot of cars. Browning's Reliable was by far the best car buying experience ever. Great, friendly staff, super fast and easy process, great vehicle at a great price, and easy financing. What more could you ask for. Would highly recommend, and will probably buy my next vehicle there as well!"
4.1,"Just got back my Q7 from being serviced and totally happy. My service advisor Alexa is the best there as she is very friendly, knows all about the Audi products and services. Bob Moore Audi has been servicing my Q7 for the last 3 years and never had any problems from initial call for service to the end result of a fixed Q7. Alexa kept me updated in the whole process and Bob Moore is very lucky to have a great advisor like Alexa. "
4.1,Love them Rocky was awesome and fast in helping me with my purchase i love my car and it’s affordable no hassle at all 
4.1,Smooth seamless process. They were very responsive and accommodating. I'm so excited I found the car I wanted and I had a great deal. Just amazing!
4.6,their staff is great and their selection is unmatched in the tulsa area they can even help you if your in bankruptcy and credit doesn't matter call them these guys really can help you 
5,"Jason & Emad are wonderful! Very helpful, professional and friendly! Haven’t had this little stress at a dealership ever before! If you’re looking, this place will be your last stop! "
5,I am so pleased w/ this car lot and the people working there!! I would like to give a big shout out to Mr.Webb!!!!!! He was AWESOME!! 
5,The best used car dealership and the salesman True was the truth. I would recommend this car dealership to any one looking to own their own vehicle.
5,Purchased a truck from them from out of state. It arrived smoothly and just as described! So thankful! Even months later when I needed some paperwork Martha and Richard went out of their way to continually help me. So thankful and appreciative!
5,Fast and easy! Steve was very professional and the process was seamless highly recommended. The dealership is very nice and people are very friendly. If you are looking for a Tesla or get lucky and find another vehicle in their inventory this is the place to go!
5,"This is my second vehicle I’ve purchased with Barrett. My first car with them was a Ford Fusion 2013. I tell you that car was very reliable. Times got rough for my family and we fell on hard times. Barrett team worked with us while we got back running. Thanks so much!!!! My second vehicle was my candy red camero. The process was short sweet and easy. They approved me fast and the service I received was amazing from this team. Thank you guys so much and keep that high energy, smiles, hospitality,accuracy, and great products with service you guys have given me since day one. 

Your #1 customer Kendra"
5,"Austin took care my wife's Countryman, Always helpful. My first time with a PHEV. We absolutely love the MINI, coupled with excellent service and free maintenance. Its hard to top!
Thank you MINI of Wichita"
5,My family appreciates everything you guys have done to ensure we found the vehicle we needed!  You have earned our families business!  Thanks again guys!
5,"I had a GREAT experience purchasing a vehicle from Bryans Car Corner! Excellent Customer Service!! Gil was a BLESSING! I love my car!
-Monique Wilson"
5,"I came into CarMax in Tulsa to discuss a specific car located in Texas. I was helped by Jaime Monroe and she was very knowledgeable and did not pressure me to buy anything. They are bringing the car I want to buy from Texas for FREE and based on the guarantees CarMax provides I feel so comfortable making the purchase. This is the easiest purchase of a vehicle I have ever had. Thank you Jaime, I’m very satisfied and at ease with my choice!"
5,This dealer has a great variety of inventory and has it conveniently indoors.  You can conveniently shop regardless of the weather outside.  The staff always listens and try to help the best way possible.  Highly recommended.
5,By far one of the best dealerships I've ever been to! Everyone there is awesome and they go above and beyond to help you.
5,Wow..... I love the customer service. Lori followed through with my requested. She was very professional and a woman of her words.  Rance was a true professional  and made us feel at home. He made us feel we were part of his family. I recommend this dealership to my friends and family any day and every day.  For those doubters out there.  I did my home work and got the best deal I could find in the Dallas area. Thank you Destination Motorcars 
5,I would definitely recommend this car lot to anyone in need of help.. The owner Mr. Fadi is truly a blessing  he goes above N beyond. He will work with you to his best ability. He has been my angel in my situation. I am so thankful for him.. As long as u are honest and communicate he will go above N beyond to make sure you are busy satisfied. He actually cares about u not just making a buck and that goes very far.. so again come talk to Me Fadi he will definitely make you happy also.
5,"I’m so very happy with my recent purchase. This is my second purchase from Discount Motors. Very happy with the 1st one too. Biggest difference was my sales person Frank Puente very professional, helpful and understanding. "
5,"Best car buying experience for the 2nd time!  Worked with Tyler Roman today, who went above and beyond for us.  Took <30 minutes to purchase! "
5,"Tyler was a knowledgeable professional starting the car buying process and ending the car buying process.  My husband contacted Tyler about a 2009 335I BMW that he saw on Facebook.  Tyler immediately responded back and updated my husband regarding the specifications on the car.  We then met Tyler in Plano to look at and test drive the car.  We loved the car's body and how well it had been maintained.  The engine was also very well kept..  We bought the car.  We live in Fort Worth, so Tyler delivered the car to us in Arlington so we did not have to make a long drive.  Tyler definitely knows how to treat his customers.  He called a couple of days later to make sure that my son was enjoying his new Beemer!
I look forward in doing more business with him in the future.
"
5,Purchased my 2012 Range Rover Sport from Eddie Ford. The best car buying experience ever !!!!!! Solid car and STELLAR dealership !! Zero pressure !!  Treat you like family  !!! Be Blessed Eddie !! Thanks !!
5,Great selection of high end vehicle and  friendly customer service. No pressure. They will provide free carfax and auto check on every vehicle. Highly recommended 
5,"Grate people to deal with very helpful when buying any type of auto. Would recommend them to any one buying a auto. Allway give you red carpet service

"
5,My wife and we’re looking for a used Jeep Wrangler JK with lowest miles etc. We decided to visit Perry’s Car Co because they had a good selection of Jeep Wranglers to choose from. From the first meeting with Perry we felt comfortable and confident of what he was telling us about the Jeeps. He explained features and options on each one we looked at. After discussing my trade in we agreed on a price for a 2013 Jeep Wrangler Sport and purchased it that day.
5,"Though hole process was easy and selection was 
Good sales men very helpful would highly recommend the Sapulpa location stop by take a look   Great people "
5,"Ride n Drive is like a car buying home to me! Mike (and actually the whole team) has never been anything but Stellar, kind, helpful and genuine. I have bought a 2013 BMW x5 from them as well as a Fiat 500 sport, both times i was blown away by the over the top service. Mike made sure that both times the cars where in excellent condition before we where allowed to take them. I pointed out things on the test drives that i would have to have someone look at, and each time they fixed it before the delivery. Short and Sweet, right now i'm working on how to purchase my 3rd from them. I will never look anywhere else if I am shopping for a used car. So pushy sales, just honest advice. I recommend them to all my friends and family, because in the end i know they will do the right! "
5,Bought a 2008 Chrysler town and country was a great value good people to deal with very flexible will highly recommended easy terms finance available  
5,highly recomend Steve Malley very very professional prompt easiest buying experience ever car was as described I came from waller TX 240 miles away no back and forth no games  Iwhen i arrived i was in and out with my new car in less then 10 min I will return for another car purchase for sure thanks Steve 5 stars all the way 0 headaches
5,This independent took initiatives rarely seen. The work was excellent. This is a big relief. I highly recommend them. George and Ray were nice to work with in addition. I am pleased to pass this endorsement on. 
5," Bought a 2000 Nissan Frontier and once got it home discovered a couple of issues not previously detected.  Brought it back on Monday morning and every issue was taken care of, at no additional cost to me, and the vehicle was reexamined with a fine tooth comb.  Thank you to Dave and the staff at Specialty Autoplex for your excellent customer service and dedication to quality vehicles."
5,This place was awesome!! I called and spoke to a young man named Cody. Told him him it was no big deal weather I bought or not but what to see what he could do. In a matter of two hours he called back with a deal I couldnt refuse. My payments for a brand new vehicle were 25 bucks more than the 7 year old car I had bought a few years ago. Needless to say I bought!!! You want a great deal and great service call Cody in Eastland. Dude is good and respectful. 
5,Ken made the whole process super easy and i got a fantastic price on my new Jeep! Would HIGHLY recommend TX Brand Auto to anyone needing to purchase a new car.
5,They are very easy to work with and unlike most dealers they put the prices of the vehicles in the windows. So no pricing games. They have great deals on their vehicles and they are nice too. Will definitely buy from here again when ready to. They also have their own service shop for you to take your car to get worked on. The guys there Chuck and Roy are very knowledgeable and don't try to up-sell you on fixing things you don't need at this time. 
5,Very friendly and helpful and has very reasonable prices. We have bad credit and they didn’t hold that against us! I have 2 small children and we weren’t there very long 
5,Went in looking for a very specific auto and left with one completely different but better!  Staff was quick and helpful. I waited less than 10 minutes for all negotiations and trade in assessment.  Staff stayed late that evening to complete the sale and trade in. 
5,"My first time to ever buy a car from a dealership and I could not have been more pleased!! These guys made it the best and easiest experience! They answered any questions I had, as well as ones I didn't even think of, about my new vehicle!! I consider myself lucky to have come across genuine people and great customer service!! They normally sale trucks but I got blessed with a car they had! Thank you so much for giving me hope in financing a car! Y'all are the best!"
4.2,"Amos is the undisputed expert and dealer in 1955-57 T-Birds. His cars are impeccable. He will ask what you want in the car, Extent of restoration, and he and his son literally know every proper nut and bolt on these special automobiles. He always has many in stock and has sold hundreds. I just emailed him yesterday needing some advice on something I wanted to add to my own 57 Bird. I did not buy it from him, as it came from an estate sale. There was nothing in it $ wise for him to share his expertise. Yet this morning he had emailed me back with specific info, potentially saving me headaches and $$. It is entertaining just to look at his website. He also has a lot of other 50s Ford expertise as well."
4.1,"Zach Sherman, is the man!! He made this whole process so easy for me. He was always reachable, and i really appreciated that. I highly recommend him!! Thanks for helping with my purchase."
4.1,After car shopping at 3 places and getting denied I came to Mr.Bills and Lucas helped me I was in and out. I told him I wanted a roomy car because of my kids always kicking the seats and he got me a roomy car! Stop wasting your time & go to Mr.Bills Lucas will make it happen even if everyone else denied you!! 
4.8,I drove all the way from Arkansas for the car I wanted.  When I arrived it was very clean and shiny.  Went for a test drive with Isaac who was very knowledgeable and friendly.  Came back and didn't haggle.  Started paperwork and was out of there in all under 2 hours.  Everyone was friendly and everything was as promised with the Yukon.  At least at this dealership I feel like they took our safety seriously.  Everyone was wearing a mask and social distanced.  Got a little tight and somewhat loose when we went for walk through and discussion on GM app and onstar.  The person doing the financing knew their stuff and was outstanding to work with.  
4.8,I had a amazing experience at this dealership. Larry Parks is awesome with great customer service skills. They stayed in contact with me throughout my whole process. They made sure I was aware of everything that was going on and overall satisfied. 
4," From our own personal experience with buying a vehicle from this dealership:
This 360 Smart Car / Kamkad (or whatever name it is at the moment), is a complete scam. Just watch the News reports. Google search 360 Smart Car investigation. Yes, it is the same dealership, no matter what they tell you. Look at the location. Same employees. They changed their name to fool people. This same company is in the news elsewhere, too.  Here is why I'm so upset and trying to let everyone know to beware. Please keep in mind, too, that this is such a dreadful company, that NO ONE has bothered to reach out to us in an attempt to make this right.
They charged us THOUSANDS OF DOLLARS for an extended warranty on a car they sold us 6 months ago (Nov 2018), and they have never paid the warranty company! So we have no warranty on our 8 year old car we bought from them because they pocketed our warranty money!  Seriously, who does that???!!! To the owner or manager: I hope you're having a good time with our $3,500 at your ""Family owned and proud"" business of yours. Are you proud of yourself for scamming money from hard-working people? I can only hope that this happens to you one day! I sound bitter don't I? Well, let someone steal $3,500 from you and then tell me you're not bitter.  We have three girls in college, we can't just walk to our backyard and get more cash off our money tree and buy another $3,500 warranty.
I just happened to call the warranty company in Feb of 2019 to ask if I would get a contract in the mail; and they told me, ""Oh, your contract has never been activated because the dealer never paid us for it.""  Whaaaaaat?? Now, no one at this ""more-names-than-Elizabeth-Taylor"" dealership will call me back or return my emails! I mean why would they call me? They're obviously too busy vacay'ing in the Grand Caymans with our stolen money.
Not to mention this: 2 to 3 WEEKS AFTER we bought the car, they called us to say they were changing the finance co. to a different finance co. because the 1st one went out of business. WEEKS LATER!  Ummmm, why did it take them so long to contact us? The paperwork was just sitting on someone's desk collecting dust for WEEKS! That's why. Oh, and I'm not done: They also tried to raise our interest rate on the new paperwork/contract. Are you kidding me?? It was only after I told them they could have the car back, and they could shove their higher interest rate up their you-know-what, did they agree to keep the rate the same. So, we had to go back to this freakin' dealership to sign all new paperwork with a new finance co. on it. Oh, and I called the original finance co. and they told me they did NOT go out of business. Hmmm. Of course, we didn't get our plates until months later and we asked them to mail the plates to us because we didn't want to go back there AGAIN. They said no, so we had drive back out there to pick them up. 
I have proof of all this, so NO ONE can say that I'm lying!!!!!!!  If these people were good or honest at all, don’t you think they would have paid our warranty by now? Do you want this to happen to you?
I’m not upset with our sales people who helped us, but rather owners and management who actually took our money and didn’t pay our warranty. 
Please understand, I am normally a very, very patient and easy-going person. But this dealership has caused soooo much heartache and frustration; and they’ve caused us many sleepless nights. They stole from us. And they don't care! Don't make the same mistake we did. DO-NOT-BUY-ANYTHING-FROM-THIS-DEALERSHIP!! If you do decide to go there anyway, please run to your doctor first and get a quick CT Scan; just to make sure you have a brain. Yes, I’m angry and I should be! Can I be any more clear? I don’t think so.  "
4,"Went in for my free oil change, estimated wait hour to hour 15, hour 30 young lady comes out and service reccomend two new tires, declined mentioned  how long it had been she suggested declining the wash job I agreed. At an hour 50 car pulled up hour 55 they call me cost 46.71. Service manager busy on phone I'm done leave go to front ask for manager over service manager they send me back to service did not go well.  He wanted me to go back to my car get items bring back to service then make another trip to leave, I just left


"
4,"Ask for Jesse Arredondo, best salesman by far. Went above and beyond! My daughter picked her new car up last night. Thank you Jesse and Chad!!"
4.2,"Saw a Great Deal price listing on Car Guru's from this dealership for a top trim model 2015 Honda Odyssey Touring Elite. After scouring all other dealer sites and possible options it was clear that the vehicle from this dealership was priced well below market value. I called on a Sunday not knowing that the dealership was closed, but Jason answered my call and was awesome right from the start. He told me the vehicle was still available and that there was someone else scheduled to come up and see the next morning, so I made an appointment for that next afternoon. Jason kept me updated on the status of the vehicle and he let me test drive/check out the vehicle for a couple of hours. Vehicle had some cosmetic repair work which was evident but they did a good job at getting it looking in the right condition. I was extremely pleased with everything until we got inside to pay and found out that the price posted online hadn't yet added in ""Service Fees"" for performing the repairs. Van ended up costing ~$2,200 more than what was listed on Car Guru's, but the cost still ended up being about the same as what I'd seen on other sites while looking. Seemed kinda like a bait and switch tactic, but all in all I was happy with the vehicle that I received and Jason found me a great interest loan through a credit union . Was able to get 0 Down at 4.25% based on a 703.. I'd definitely recommend them again thanks to Jason. He made the whole process extremely easy and was very accommodating. Their current location is a little cramped, but they're just about to move to a new lot. Look forward to doing business with them again. Recommended."
4,Great cars and very knowledgable and friendly staff. Definitely recommend this place if youre in the market for a used vehicle. I bought a 2017 corrolla from them and im loving it
